,SMILES
6258,COC1=CC=C(O)C=C1NC(=O)NC(=O)C1=CC=C(F)C=C1Cl
6259,CN1CCN(CC1)C1=NC2=C(C=C(C=C2N=C1)C(F)(F)F)C1=CC(O)=CC=C1
6260,CC1=C(NC2=CC(=CN=C2)C(N)=O)C=C(C=C1)C(=O)NC1=CC=CC(=C1)C(F)(F)F
6261,NC1=CC=C(SC2=CC=C(C=C2)N2C(=O)C3=C(C=C(N)C=C3)C2=O)C=C1
6262,CC1=CC=CC(=C1)N1C=NC2=CC(N)=CC=C12
6263,COC1=CC(CN2C(=CC3=C2C=CC=C3)C(=O)NC2CCN(CC2)C(C)C)=CC=C1
6264,CC(C)N1CCC(CC1)NC(=O)C1=CC2=C(C=CC=C2)N1CC(=O)NC1=CC=C(Cl)C=C1
6265,OC(=O)C1=C(CCC1)C(=O)NC1=C(F)C=C(C=C1F)C1=CC=CC(OC(F)(F)F)=C1
6266,COC1=CC=CC(=C1)C1=CC=C(NC(=O)C2=C(SC=C2)C(O)=O)C(F)=C1
6267,OC(=O)C1=C(C=CS1)C(=O)NC1=C(F)C=C(C=C1F)C1=CC(OC(F)(F)F)=CC=C1
6268,OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1
6269,[H]N=C(CC1=CC(O)=C(O)C=C1)C(O)=O
6270,CC[C@H](CO)NC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=CC=C(OC)C=C12
6271,CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)N2CCN(CC2)C(=O)CO)=NC=C1
6272,COC1=CC=C2N(C(=O)C3=CC=C(I)C=C3)C(C)=C(CC(O)=O)C2=C1
6273,CC[C@@H](CO)NC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=C1C=C(OC)C=C2
6274,[H][C@](CCC1=CC=C(C=C1)C(N)=N)(CC(=O)OC)C1=CC=CC(=C1)C(N)=N
6275,OC(=O)CNS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1
6276,[H]N([C@H](CC(=O)N([H])C1=NN([H])C(=S)S1)C1=CC=CC=C1)C(=O)OCC1=CC=CC=C1
6277,CNC(=O)[C@H](CC1=C(F)C(F)=C(F)C(F)=C1F)NC(=O)NC1=NN=C(S)S1
6278,[H][C@](CC(C)C)(N(O)C(C)=O)C(=O)OC
6279,[H][C@@](CC)(COC1=CC=CC=C1)O[P@](C)(Cl)=O
6280,[H][C@@](C)(CCC1=CC=C(O)C=C1)NC(=O)CC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1
6281,OS(=O)(=O)OC1=CNC2=CC=CC=C12
6282,NC1=NC=CC=C1NCC1=CC=CC(=C1)C1=CC2=C(C=CN2)C=C1
6283,NC1=NC=CC=C1NCC1=C(OCC2=NC=CC=C2)C=CC(=C1)C1=CC2=C(C=CN2)C=C1
6284,BrC1=CC=C(C=CCNCCNS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C=C1
6285,CC1CNCCN1S(=O)(=O)C1=C2C=CN=CC2=CC=C1
6286,CNCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2
6287,OC(=O)COC(=O)C1=C2C(C(=O)N(CC(O)=O)S2(=O)=O)=C2C=CC=CC2=C1
6288,OC(=O)CN1C(=O)C2=C(C(=CC3=CC=CC=C23)C(O)=O)S1(=O)=O
6289,COC(=O)C1=C(O)C=CC=C1OCC=CC1=CC(=CC=C1)C1=C(CO)C(=NO1)C(O)=O
6290,[H][C@@](CC1=CC=C(C=C1)[C@]1([H])CC(=O)NS1(=O)=O)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(C)=O)C(N)=O
6291,[H][C@](CO)(NC1=NN2C(C=C1)=NC=C2C1=CC(N)=CC=C1)C(C)C
6292,CCNC(=O)N1CCC(CC1)NC1=NC(C2=CNC3=CC=CC=C23)=C(Cl)C=N1
6293,CC1=NC2=NC=NN2C(NC2=CC3=CC4=CC=CC=C4C=C3C=C2)=C1
6294,[H][C@@](O)(CNC(=O)NCC1=CC=CC=C1)C(O)=O
6295,CC1=NC2=NC=NN2C(NC2=CC=C(C=C2)C(F)(F)F)=C1
6296,CCN(CC)CCNC(=O)C1=C(C)NC(C=C2C(=O)NC3=C2C=C(Cl)C=C3)=C1C
6297,O\N=C1C(=O)N(CC2=C3OCOCC3=CC(F)=C2)C2=CC=CC(C=CC3=CC=CC=C3)=C12
6298,O\N=C1C(=O)N(CC2=CC(F)=CC3=C2OCOC3)C2=C1C=C(F)C=C2
6299,CCOC(=O)C1=CC=C(OCCC2CCN(CC2)C2=CC=C(C)N=N2)C=C1
6300,CCOC(=O)C1=CC=C(OCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
6301,CCOC(=O)C1=CC=C(OCCCCC2CCN(CC2)C2=NN=C(C)C=C2)C=C1
6302,O\N=C1C(=O)N(CC2=CC(F)=CC3=C2OCOC3)C2=CC=CC(=C12)C1=CC=CC=C1
6303,OP(O)(=O)OCCCCC1=C(Cl)NC(=O)NC1=O
6304,COC1=NN=C(C=C1)N1CCN(CC1)C1=CC(C)=CC=C1
6305,[H][C@]1(CC2=NC(N)=CC(C)=C2)CNC[C@@]1([H])NCCNCC1=CC=C(Cl)C=C1
6306,[H][C@]1(CC2=NC(N)=CC(C)=C2)CNC[C@]1([H])NCCNCC1=CC(Cl)=CC=C1
6307,[H][C@@]12CCC[C@]1([H])[C@@]([H])(OC1=C2C=C(O)C=C1COC)C1=CC=C(O)C=C1
6308,ClC1=C(N2CCN(CC#C)CC2)C(NC(=O)C2=CC=C(Br)O2)=CC=C1
6309,[H][C@](C#N)(C1=NC2=C(S1)C=CC=C2)C1=NC(NCCC2=CC=CN=C2)=NC=C1
6310,CN(C1CCCCC1)C1=NC(=CC=N1)C1=CN=C2C=CC=CN12
6311,[H][C@](N)(CC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])CN
6312,[H][C@@]1(CC[C@@]([H])(CC1)C(=O)NC1=CC(=CC=N1)C1=CC(NC2=CC=C(F)C=C2)=NC=C1)OC
6313,CNC(=O)CN1CCC(CC1)NC1=NC(=CC=N1)C1=CN=C2C=CC=CN12
6314,CN(C)CC1=CC=C(CSCCNC(=O)NC2=CC=C(C)C(Cl)=C2)O1
6315,ClC1=CC=C(C=C1)C1=NNC(SC1)=NCCC=C
6316,OCCN(CC(=O)NO)S(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1
6317,ONC(=O)CCOC1=CC=C(C=C1)C1=CC=C(C=C1)C#N
6318,CC(C)(NC(=O)C1=CC=C2C(=C1)N1CCOC3=C(C=CC=C3)C1=C2C1CCCCC1)C(O)=O
6319,CCN(CC)C(=O)C1=C(NC(=O)C2=CC=CS2)SC2=C1CCCC2
6320,[H][C@@]1(C)CCC2=C(C1)C(C(=O)N(CC)CC)=C(NC(=O)C1=CC=CS1)S2
6321,COC1=C(C=N\NC(=O)C2=CC(O)=C(O)C=C2)C2=CC=CC=C2C=C1
6322,CC1=CC=C(C)C(CC2=NN(C3=C2C(N)=NC=N3)C(C)(C)C)=C1
6323,O=C1NCC2=C3C(NC4=CC=CC=C34)=C3NC4=C(C=CC=C4)C3=C12
6324,CN([C@H]1CCN(C)C[C@H]1F)C(=O)N1CC(=C[C@@]1(CO)C1=CC=CC=C1)C1=C(F)C=CC(F)=C1
6325,[H][C@@](C)(N)C(=O)N[C@@]([H])(C)C(=O)N[C@@]([H])(CC1=CC=CC=C1)[C@@]([H])(C)O
6326,CN(C)S(=O)(=O)C1=CC=C2NC(=O)C(=CC3=CC4=C(CCCC4)N3)C2=C1
6327,C[C@H](NC(=O)[C@@H](CC(=O)NO)CC1=CC=CC=C1)C(O)=O
6328,[H][C@@](CC1=CC=CC=C1)(NC(=O)OCC1=CC=CC=C1)[C@@]([H])(O)C(O)=O
6329,COC1=CC(NC2=NC(=CC=N2)N(C)C2=CC3=C(C=C2)C(C)=NN3)=CC(OC)=C1OC
6330,FC(F)(F)C1=CC(NC(=O)NC2=CC=C(OC3=CC=NC=C3)C=C2)=CC=C1
6331,[H][C@]1(N)CC(=CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C(=O)N1CCN2C(C1)=NN=C2C(F)(F)F
6332,NCCCOC1=CC=C(C=C1)C1=C(NN=C1)C1=CC(Cl)=C(O)C=C1O
6333,NS(=O)(=O)C1=C(Cl)C=CC(=C1)[C@@]1(O)NC(=O)C2=C1C=CC=C2
6334,OC1=CC(O)=C(C=C1)C1=NN(CC=C)C2=C1C=CC=C2C(F)(F)F
6335,OC1=CC=C2C(NN=C2C2=CC=C(O)C=C2O)=C1
6336,OC1=CC=C2C(OC(=O)C=C2C2=CC=CC=C2)=C1O
6337,OC(=O)C(=O)CCCC1=CC=CC=C1
6338,[H][C@](N)(CC(=O)N1CCCCCN1C(=O)C1=CC=CC=C1)CC1=C(F)C=C(F)C(F)=C1
6339,NC1=NC=NC2=C1C(=NN2C1CCCC1)C1=CC2=C(NC=C2)N=C1
6340,COC1=C(OC)C=C(C=C1)C1=NN(C2CCC2)C2=NC=NC(N)=C12
6341,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC2=CC=CN=C2C=C1
6342,ClC1=C(NC2=NC=C(N3C=NC=C23)C2=CC=CC=C2)C=CC=C1
6343,CC1=CC=CC(C)=C1NC1=NC=C(N2C=NC=C12)C1=CC=CC=C1
6344,[H][C@]1(C)CN(CCN1)C1=CC=C2N=C(NC3=C(C)C=CC=C3Cl)C3=CN=CN3C2=C1
6345,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCCNCC1
6346,[H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)C2=C3C(=CO2)C(=O)O[C@H](COC)[C@]13C
6347,NC1=CC=CC=C1C(=O)CCC(O)=O
6348,ClC1=CC=C(C=C1)C1=NNC(=C1)C1CCNCC1
6349,CSC1=NN=C(N1)C1=CC=C(Cl)C=C1
6350,COC1=CC=C(NC2=C(C(=O)N(CC3=CC=CC=C3)C2=O)C2=CC=CC=C2)C=C1
6351,CC(C)(C)C1=NNC(NC(=O)NC2=CC=C(Cl)C(COC3=CC=CN=C3)=C2)=C1
6352,N1C=CC(=N1)C1=NC2=CC=CC=C2N1
6353,O=C(NC1=CNN=C1C1=NC2=C(N1)C=CC=C2)C1=CC=CC=C1
6354,O=C(NC1CC1)NC1=CNN=C1C1=NC2=CC=C(C[NH+]3CCOCC3)C=C2N1
6355,[H][C@@]1(F)C[C@]([H])(CC(=C1)C(=O)NC1=CC=C(Cl)C(COC2=CN=CC=C2)=C1)N1CCOCC1
6356,CC1=CC=CC=C1C1=NNC(=S)N1N
6357,CC1=NNC=C1C1=CC=C(CCN)C=C1
6358,[H][C@](C)(C[C@@]([H])(C)C1=CC=CC=C1)C[C@]1([H])CCCCN1C
6359,CC(C)OC1=CC(NC(=O)C2=CC(Cl)=C(OCCN)C(Cl)=C2)=CC=C1
6360,[H][C@@](N)(COC1=CN=CC(=C1)C1=CC=C2NN=C(C)C2=C1)CC1=CNC2=CC=CC=C12
6361,CC(C)=CCN1C=NC(N)=C2N=CN=C12
6362,NC1=NC(=CS1)C1=NC(N)=NC=C1
6363,CC1=NC(=CN1CC1=C(Cl)C=CC=C1Cl)C1=NC(N)=NC=C1
6364,CC(C)(OC1=CC=C(NC(=O)NC2=CC(Cl)=CC(Cl)=C2)C=C1)C(O)=O
6365,CCCC1=C(OCCCOC2=CC=C(OCC(O)=O)C=C2)C=CC(C(C)=O)=C1O
6366,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1
6367,[H][C@]1(CSC(=O)N1)[C@@]1(O)C[C@H]2C[C@@H](CC[C@H](C)C=CCCC(C)=CC(=O)O2)O1
6368,[H][C@@]1(CCOC1=O)NC(=O)CC(=O)CCCCC
6369,OCCNC(=O)C1=CC=C(Cl)C=C1
6370,NS(=O)(=O)C1=CC=C2NC(=NC2=C1)C1=CSC=N1
6371,OC(=O)COC1=CC(F)=CC=C1C(=S)NCC1=CC=C(Br)C=C1F
6372,CCCCCCC1=CC=C(C=C1)C(=O)C=C
6373,[H][C@@](CC(C)C)(NC(=O)CCCCCCCCCCCN1C=CN=C1)C(O)=O
6374,[H][C@@]1(O)CCN2C(=O)N(C(=O)[C@]12[H])C1=CC=C(C#N)C2=CC=CC=C12
6375,N#CC1=CC=C(\N=C2/O[C@@]([H])(C(F)(F)F)[C@]3([H])[C@](O)([H])CCN23)C(C)=C1Cl
6376,FC(F)(F)CN(CC(F)(F)F)C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1
6377,[H][C@]12COC(=NCCCCCCCC)N1[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O
6378,FC1=CC(=CC(=C1)C(=O)NC1=CC=C2NC=C(CCC3=CC=NC=C3)C2=C1)N1CCOCC1
6379,FC1=CC(=CC(=C1)C(=O)NC1=CC=C2NC=CC2=C1)N1CCOCC1
6380,NC1=C(OCC2=CC=CC3=CC=CC=C23)C=CC=N1
6381,COC1=CC=C(F)C(F)=C1C(=O)C1=CN=C(NC2CCN(CC2)S(C)(=O)=O)N=C1N
6382,[H][C@@](C)(NC1=NC=CC(=N1)N(C(=O)NC1=CC=CC=C1Cl)C1=CC=C(OC)C=C1)C(C)(C)O
6383,CCN1C(NC2=CC=CC=C2Cl)=NC2=C1N=C(NC1=C(F)C=CC=C1F)N=C2
6384,CC(C)N1C(NC2=CC=CC=C2F)=NC2=CN=C(OC3=C(F)C=CC=C3F)N=C12
6385,OC(=O)CSC1=NN=C(O1)C1=CC=C(O1)[N+]([O-])=O
6386,[H][C@]1(CCC2=CC=C(C=C2N1CCCOC)C1=C(N)N=C(N)N=C1CC)C1=CC=CC=C1
6387,CC1=CC(C=CC2=CC=CC=C2)=CC(C)=C1O
6388,OC1=C(Br)C=C(C=CC2=CC=CC=C2)C=C1Br
6389,OC1=C(Br)C=C(C=C1Br)C1=CC=CC=C1
6390,OC1=C(Br)C=C(OC2=CC=CC=C2)C=C1Br
6391,OC1=C(Br)C=C(NC(=O)C2=CC=CC=C2)C=C1Br
6392,CCCCOC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@@H](CCC(O)=O)C(O)=O
6393,CCCCOC1=CC2=CC=C(C=C2C=C1)S(=O)(=O)N[C@H](CCC(O)=O)C(O)=O
6394,[H][C@](CCC(O)=O)(NS(=O)(=O)C1=CC2=C(C=C1)C=C(OCCCCC)C=C2)C(O)=O
6395,[H][C@](CCC(O)=O)(NS(=O)(=O)C1=CC2=C(C=C1)C=C(OCC1=CC=C(C=C1)C#N)C=C2)C(O)=O
6396,[H][C@](CC)(C=O)[C@@]1([H])NC(C(O)=O)=C2[C@@]1([H])CCC[C@@]2([H])OCCCC
6397,[H][C@]1(NC(C(O)=O)=C2[C@]1([H])CCC[C@]2([H])OC)C(=CC)C=O
6398,OC1=CC=C(CC2=NN=C3C=CC(=NN23)C2=CC=CC=C2)C=C1
6399,[H][C@](CCC(O)=O)(NS(=O)(=O)C1=CC2=C(C=C1)C=C(OCC1=C(F)C=C(C=C1)C#N)C=C2)C(O)=O
6400,N1N=C(C2=C1C=CC=C2)C1=CC=NC=C1
6401,NC1=NC=C(CC2=CC=CC=C2)S1
6402,NCCOC(=O)CC1=C2C=CC=CC2=CC=C1
6403,[H][C@](NC1=C(C=O)C=C2C=CC=CN12)(C(O)=O)[C@](C)(COC(=O)CC1=CC(O)=C(O)C=C1)[S@](O)=O
6404,CNC1=C(C=C(SC2=NN=CN2C)C=C1)C(=O)NC1=NC(C)=CS1
6405,[H][C@@](CC(C)C)(NC(C)=O)C(=O)N[C@@]([H])(CC1=CC=CC=C1)C(=O)C(F)(F)F
6406,[H][C@](S)(CCS)CCCCC(N)=O
6407,[H][C@@](CC1=CC=CC=C1)(OC1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O
6408,[H]C(NC1=CC=C(C=C1)S(=O)(=O)NC)=C1C(=O)NC2=CC=CC=C12
6409,CNS(=O)(=O)CC1=CC=C(N\N=C2C(=O)NC3=C2C2=C(C=C3)N=CS2)C=C1
6410,O=C1NC2=CC=C(C=C2C1=C\NC1=CC2=C(CS(=O)(=O)C2)C=C1)C1=CN=CO1
6411,O=C1NC2=CC=CC=C2C1=C\NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
6412,NC(=N)NS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=C2C=CC=C3)C=C1
6413,CC=C(C)C=CC1=C(C)CCCC1(C)C
6414,[H][C@]12CC[C@]([H])(C3=C(C=CC=C13)C(F)(F)F)[C@@]2([H])N
6415,[H][C@](O)(CN)C1=CC=CC(=C1)C(F)(F)F
6416,NCCNC1=NN=C(O1)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1
6417,[H][C@](NC(=O)C1=CC=C(CCC2=CNC3=C2C(=O)NC(N)=N3)C=C1)(C(C)C)C(O)=O
6418,NS(=O)(=O)C1=C2C=CC=C(O)C2=CC=C1
6419,NS(=O)(=O)C1=CC=C(NC(=O)C2=NNC3=C2C=CC=C3)C=C1
6420,NS(=O)(=O)C1=CC=C(NC2=NC(Cl)=CN=C2)C=C1
6421,O=C(NC1=CC=CC=C1)C1=NNC=C1
6422,CC(=O)NC1=CNN=C1C(=O)NC1=CC=C(F)C=C1
6423,FC1=CC=C(NC(=O)C2=NNC=C2NC(=O)C2=CC=CC=C2)C=C1
6424,FC1=CC=C(NC(=O)C2=NNC=C2NC(=O)C2=C(F)C=CC=C2F)C=C1
6425,CC(C)NC1=CC(Cl)=NC2=C(C=NN12)C#N
6426,[H][C@]1(N)CC[C@@]([H])(CC1)NC1=NC2=C(C=NN2C(NC(C)C)=C1)C#N
6427,[H][C@@]1(CCCNC1)NC(=O)C1=NNC=C1NC(=O)C1=C(F)C=CC=C1F
6428,ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CCNCC1
6429,[H][C@]1(F)CN(CC(=O)NC2=CC=C(C=C2F)N2C=CC=CC2=O)C[C@]1([H])NC(=O)C1=CC=C(Cl)S1
6430,NC1=NC2=NC(N)=C(C=C2C=N1)C1=C(Br)C=CC=C1Br
6431,COC1=CC=CC(OC)=C1C1=CC2=CN=C(N)N=C2N=C1N
6432,NC1=NC2=C(C=N1)C=C(C1=CC=CC=C1)C(=N2)N1CC=CC1
6433,OC(=O)C(=O)CC(=O)C1=CC=CC(=C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1
6434,NCC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(Cl)C=C1
6435,NCC1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1
6436,[NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=N1
6437,[H][C@]1(CO)O[C@@]2(CC(=NO2)C2=CC=CC=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
6438,[H][C@@]1(COC(=O)CC2=CC(Cl)=CC=C2)CCCN1C(=O)CNC(=O)OC(C)(C)C
6439,OC1=CC(O)=C2C(CC(=O)CCCCCC=CCCOC2=O)=C1Cl
6440,ClC1=CC(=CC(OC2=C(Cl)C=CC(OCC3=NNC4=C3C=CC=C4)=C2)=C1)C#N
6441,CC(=O)NCCC1=CC=C(C=C1)S(N)(=O)=O
6442,NS(=O)(=O)C1=CC=C(CCC(O)=O)C=C1
6443,CCOC(=O)CCC1=CC=C(C=C1)S(N)(=O)=O
6444,[H][C@]1(CO)O[C@@]([H])(OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@@]([H])(F)[C@@]([H])(O)[C@]1([H])O
6445,OC(=O)CCCN1C2=C(C(=O)C3=CC=CC=C23)C2=CC=CC=C2C1=O
6446,[H][C@](N)(CCSC)C(O)(O)C1=NC=CS1
6447,[H][C@](CS)(CCCC1=CC=CC=C1)C(O)=O
6448,O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2
6449,[H][C@]1(CN(C)CCCCON)O[C@@]([H])(N2C(C=C)=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
6450,[H][C@]1(N)CN(CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C1=NC=NC(=C1)C1=CC=CC(=C1)S(C)(=O)=O
6451,NS(=O)(=O)C1=CC=C2CCCC2=C1
6452,[H][C@@]1(C#N)C2=C(N(C)C3=CC(Cl)=CC=C23)C(=O)NC11CCNCC1
6453,CN(C)C1=CC2=[S+]C3=CC(=CC=C3N=C2C=C1)N(C)C
6454,CC1=CC(=O)OC2=C1C=CC(N)=C2
6455,OC(C1CC1)=C(C#N)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1
6456,[H][C@]1(N(CCC2=CC(O)=C(OC)C=C12)S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)NO
6457,OC(=O)CCCCCCCCCCS
6458,COC1=CC=CC=C1C1=CC(Cl)=C(NC(=O)C(C#N)=C(C)O)C=C1
6459,ClC1=CC=C(S1)C(=O)NCCNC(=O)C1=CC=C(C=C1)N1C=CC=CC1=O
6460,[H][C@]1(CCC[C@]1([H])NC(=O)C1=CC=C(C=C1)N1C=CC=CC1=O)NC(=O)C1=CC=C(Cl)S1
6461,COC(C)(C)CCC[C@@](C)([H])CC=CC(C)=CC(O)=O
6462,[H]N=C([H])C(=C)CCC1=CC=C(F)C=C1
6463,[H]C(C1=CC=C(O1)C1=CC=C(Cl)C=C1)=C1/SC(=S)N(CCC(O)=O)C1=O
6464,COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1
6465,COC(=O)C1=C(C)C=C(OC2=C(O)C(O)=CC(C)=C2)C=C1O
6466,CN(CCO[P@@](O)(=O)OP(O)(O)=O)CCC=C(C)CCC=C(C)CCC=C(C)C
6467,CC1=CC(=CC=C1O)\N=NC1=CC=CC=C1C(O)=O
6468,CCCOC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1
6469,CC1=C(C=CC=C1)C1=CC2=C(N1)C=CC(=C2)C(N)=N
6470,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=C(SC)N=C3NCCC(C)C)[C@]([H])(O)[C@]1([H])O
6471,CN1C=C(C=CC(C)=O)C2=CC=CC=C12
6472,CN[C@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1
6473,CCOCN1C(=O)NC(=O)C(C(C)C)=C1CC1=CC=CC=C1
6474,COC1=CC=C2NC(I)=C(CCNC(C)=O)C2=C1
6475,OC(=O)C1=CC=C(C=C1)C1=CNC2=C1C=C(C=N2)C1=CC=CC=C1
6476,[H][C@]1(CC2=C(CN1)C=CC=C2)C1=NC(C(O)=O)=C(S1)C(C)C
6477,OC(=O)CC1=CC(=CC=C1)[N+]([O-])=O
6478,CC1=NC(N)=NC2=C1CSCC2
6479,[H][C@@](CS(=O)(=O)CC1=C(OC(F)F)C=CC=C1)(OC(=O)N1CCOCC1)C(=O)NCC#N
6480,COC1=CC(=CC(OC)=C1O)\N=NC1=CC=CC=C1C(O)=O
6481,[H][C@]1(CC(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1
6482,[H][C@@]1(NC(=S)N(C)C(C)=C1C(=O)C1=CC=CC=C1)C1=CC(O)=CC=C1
6483,[H][C@@](CS)(NC(=O)OCC1=CC=CC=C1)C(=O)NCC(O)=O
6484,CCCCCCP(O)(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C
6485,CCCCCCP(O)(=O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C
6486,CN1CCN(CC1)NC(=S)NC1=CC=C(C=C1)S(N)(=O)=O
6487,COCC(COC)N1C=CC2=C1C=CC1=NC(N)=NC(N)=C21
6488,OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC3=C(C=CC1=C23)[N+]([O-])=O)C1=CC=C(O)C=C1
6489,CC1=CC(=CC(C)=C1O)C1=NC2=CC=CC=C2O1
6490,OC1=C(Br)C=C(C=C1Br)C1=NC2=C(O1)C=CC=C2
6491,CC1=CC(=CC(C)=C1)C1=NC2=C(O1)C=CC=C2
6492,OCCONC(=O)C1=CC=C(F)C(F)=C1NC1=CC=C(C=C1F)C#C
6493,CN(C)C1=CC=C(C=C1)\N=NC1=CC=CC=C1C(O)=O
6494,CN1C=CN=C1SC1=CC(C(=O)NC2=NC=CS2)=C(N)C=C1F
6495,NC(=O)C1=C(C2=CC(Br)=CC=C2N1)S(=O)(=O)N1CCCC1
6496,[H][C@]1(C[C@]1([H])C1=C(OC)C=CC(C(C)=O)=C1O)NC(=S)NC1=NC=C(C=C1)C#N
6497,[H][C@@]1(COC2=CC=CC=C2)CCCN1S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O
6498,OC1=CC=C(C=C1)N1C=CN=C1
6499,CCNC1=NC(SC)=NC(NC(C)(C)C)=N1
6500,CC(C)(C)C1=CC(=CC=C1O)\N=NC1=CC=CC=C1C(O)=O
6501,CC1(C)C=C(CSS(C)(=O)=O)C(C)(C)N1O
6502,O=N(=O)C1=CC=CC(=C1)\N=C1\N=CCC(=N1)C1=CC=CC(CN2C=NC=N2)=C1
6503,CC1=C(SC(N)=N1)C1=NC(=NC2=CC=C(C=C2)N2CCOCC2)N=CC1
6504,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C=C(CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(O)=O)C(=O)C1=CC=C(O)C=C1
6505,CC1=CC=C(NC(=O)C2=CC=CC(=C2)C(F)(F)F)C=C1NC1=NC=CC=C1C1=CC=NC=N1
6506,CCCCCCCCCCC[P@@](O)(=O)OC
6507,[H][C@@](O)(CN(CC1CC1)S(=O)(=O)C1=CC=CO1)[C@]([H])(CC1=CC=CC=C1)NC(=O)CCC(=O)NC
6508,[H][C@]1(O)CC(=O)O[C@@]([H])(CC[C@@]2([H])[C@@]([H])(C)C=CC3=CCC[C@]([H])(O)[C@]23[H])C1
6509,CCCCC(C)=CC=C(C)C(=O)C1=C(O)C=C(CCCC=C\NC(=O)OC)OC1=O
6510,CC1(C)CC(CC(C)(C)N1O)N1C(=O)CCC1=O
6511,COC1=C2N(C)C(=O)C=C(C)C2=C(OC)C=C1
6512,[H]N([H])N(CC(O)=O)C(=O)CC([H])(O)C(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1
6513,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C(O)=C1
6514,CCCCCCCCCCCCCC(O)=O
6515,NC1=CC=C2NC(=CC2=N1)C1=CC(CC(O)=O)=CC(=C1O)C1=CC=CC(=C1)[N+]([O-])=O
6516,OC1=CC=C(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)C=C1
6517,CCC1=NC(N)=NC(N)=C1C#CCC1=CC(OC)=CC=C1OC
6518,CC1=C(CCNC(=O)C2=CC=CS2)C2=CC=CC=C2N1
6519,[H][C@]1(SCC(=O)N1C1=CC(Cl)=CC=C1O)C1=CC=CC(Br)=C1
6520,[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=NC2=C1N=C(NCC1=CC=CC3=C1C=CC=C3)NC2=O
6521,NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O
6522,[H][C@]1(C=C(CN1C(=O)N(C)C1CCNCC1)C1=CC(F)=CC=C1F)C1=CC=CC=C1
